DATE,EA19B6BLTT02STSAQ
1999-01-01,-0.354197841068999
1999-04-01,0.112863894467587
1999-07-01,-0.753890015896143
1999-10-01,-1.15158554920548
2000-01-01,-1.12631354239337
2000-04-01,-1.34373720885653
2000-07-01,-1.73654997966315
2000-10-01,-1.71855215886649
2001-01-01,-0.76800974329024
2001-04-01,-0.794895401969741
2001-07-01,-0.227373668882875
2001-10-01,0.219715779542931
2002-01-01,0.917527745749258
2002-04-01,0.142264898869302
2002-07-01,0.895488127120534
2002-10-01,0.506503607530137
2003-01-01,0.212536968949215
2003-04-01,-0.111344575262043
2003-07-01,0.307370421010625
2003-10-01,0.55979715277825
2004-01-01,0.913927765420864
2004-04-01,0.674779791766749
2004-07-01,0.408894513717496
2004-10-01,0.699323856411668
2005-01-01,0.184420129245496
2005-04-01,0.223698390195873
2005-07-01,-0.0157562223605272
2005-10-01,-0.128715937160417
2006-01-01,-0.321817940825862
2006-04-01,-0.204469670451603
2006-07-01,-0.187026709349119
2006-10-01,0.053578079664287
2007-01-01,0.37320687622806
2007-04-01,0.391175391484534
2007-07-01,0.169539377696687
2007-10-01,-0.737538093132286
2008-01-01,-1.87024046954584
2008-04-01,-1.32037649063739
2008-07-01,-1.81871105042376
2008-10-01,-2.49827597707259
2009-01-01,-0.81617024093159
2009-04-01,-0.400437746554843
2009-07-01,0.203285415856721
2009-10-01,-0.298541127661338
2010-01-01,-0.179965081274155
2010-04-01,-0.407656922205653
2010-07-01,-0.325656397528907
2010-10-01,-0.520001519429757
2011-01-01,-0.760430695133168
2011-04-01,-0.2618376270999
2011-07-01,-0.4630953042397
2011-10-01,0.00492943339582699
2012-01-01,0.218775600244224
2012-04-01,1.13546990151871
2012-07-01,1.21855740199945
2012-10-01,1.30737239820024
2013-01-01,2.05560244458051
2013-04-01,2.16275813799426
2013-07-01,1.74832270201304
2013-10-01,2.35303633716783
2014-01-01,2.28510363130713
2014-04-01,1.80130764469144
2014-07-01,2.32032320126924
2014-10-01,2.99354681063895
2015-01-01,3.248971455039
2015-04-01,1.86157017374149
2015-07-01,2.89941694758506
2015-10-01,2.86956881947098
2016-01-01,2.96426681742254
2016-04-01,3.2858394100849
2016-07-01,2.84579055294324
2016-10-01,3.0139250011159
2017-01-01,2.99469334643302
2017-04-01,1.62297328297567
2017-07-01,3.84379936075197
2017-10-01,4.00649580544843
2018-01-01,3.26973991748928
2018-04-01,3.13776547093643
2018-07-01,2.65185018943682
2018-10-01,2.6170292253944
2019-01-01,3.25825192222161
2019-04-01,1.51707802468709
2019-07-01,2.97874512367633
2019-10-01,1.6817148984453
2020-01-01,0.332498049310162
2020-04-01,1.07642890265988
2020-07-01,1.94440926056348
2020-10-01,2.97641653538433
2021-01-01,3.25498338363169
2021-04-01,2.85482328755733
2021-07-01,2.10010040162189
2021-10-01,1.04496849778999
2022-01-01,0.347302488023374
2022-04-01,-1.18873647257598
2022-07-01,-3.16692051102412
